Larvae_1,07_R1.fastq.gz,07_R2.fastq.gz
Worker_1,08_R1.fastq.gz,08_R2.fastq.gz
Queen_1,09_R1.fastq.gz,09_R2.fastq.gz
Larvae_2,10_R1.fastq.gz,10_R2.fastq.gz
Worker_2,11_R1.fastq.gz,11_R2.fastq.gz
Queen_2,12_R1.fastq.gz,12_R2.fastq.gz
Larvae_3,13_R1.fastq.gz,13_R2.fastq.gz
Worker_3,14_R1.fastq.gz,14_R2.fastq.gz
Queen_3,15_R1.fastq.gz,15_R2.fastq.gz
Larvae_4,25_R1.fastq.gz,25_R2.fastq.gz
Worker_4,26_R1.fastq.gz,26_R2.fastq.gz
Queen_4,27_R1.fastq.gz,27_R2.fastq.gz
Larvae_5,28_R1.fastq.gz,28_R2.fastq.gz
Worker_5,29_R1.fastq.gz,29_R2.fastq.gz
Queen_5,30_R1.fastq.gz,30_R2.fastq.gz
Larvae_6,31_R1.fastq.gz,31_R2.fastq.gz
Worker_6,32_R1.fastq.gz,32_R2.fastq.gz
Queen_6,33_R1.fastq.gz,33_R2.fastq.gz
